NIVEL_WPS	CODIGO_WPS	QTDE_WPS	DESCRICAO_WPS	LARG_WPS	ALT_WPS	PROF_WPS	COMP_WPS	MATERIAL_WPS	USINAGEM_1_WPS	USINAGEM_2_WPS	LARG_TOP	CATEGORIA	IMAGEN	
3	15_SOBRA	0.28	15_SOBRA	269	15	0	1046	15_SOBRA			1046	ARAUCO		
1	PA05	1	PAINEL TETO	925	15	1488	15				925			
2	PAINELV080000151000	1	PAINEL VER DIR ESQ 2_5	925	1488	15	1488	15_ESCARLATE			925		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005286.BMP	
3	15_ESCARLATE	1.38	15_ESCARLATE	925	15	0	1488	15_ESCARLATE			1488	ARAUCO		
3	ABS_ESCARLATE_22	2.98	ABS_ESCARLATE_22	2976	0	0	0	ABS_ESCARLATE_22			2976			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	1473	15	1473	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005291.BMP	
3	15_SOBRA	0.10	15_SOBRA	70	15	0	1473	15_SOBRA			1473	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	1473	269	1473	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005297.BMP	
3	15_SOBRA	0.40	15_SOBRA	269	15	0	1473	15_SOBRA			1473	ARAUCO		
2	ENGROSSO066000150070	2	ENGROSSO HOR PAINEL _4P	755	70	15	70	15_SOBRA			755		C:\Nesting\LIVING\IMG_COMP\ENGROSSOHORP-1-1005311.BMP	
3	15_SOBRA	0.05	15_SOBRA	70	15	0	755	15_SOBRA			755	ARAUCO		
2	ENGROSSO080000800015	1	ENGROSSO H FECHAMENTO PAINEL _4P	755	15	269	15	15_SOBRA			755		C:\Nesting\LIVING\IMG_COMP\ENGROSSOHFEC-1-1005317.BMP	
3	15_SOBRA	0.20	15_SOBRA	269	15	0	755	15_SOBRA			755	ARAUCO		
2	REGUAAC080000150018	1	REGUA ACABAMENTO HOR _5	925	15	269	15	15_ESCARLATE			925		C:\Nesting\LIVING\IMG_COMP\REGUAACABAME-1-1005320.BMP	
3	15_ESCARLATE	0.25	15_ESCARLATE	269	15	0	925	15_ESCARLATE			925	ARAUCO		
1	PA05	1	PAINEL TETO	920	15	1989	15				920			
2	PAINELV080000151000	1	PAINEL VER DIR ESQ 2_5	920	1989	15	1989	15_ESCARLATE			920		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005327.BMP	
3	15_ESCARLATE	1.83	15_ESCARLATE	920	15	0	1989	15_ESCARLATE			1989	ARAUCO		
3	ABS_ESCARLATE_22	3.98	ABS_ESCARLATE_22	3978	0	0	0	ABS_ESCARLATE_22			3978			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	1974	15	1974	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005332.BMP	
3	15_SOBRA	0.14	15_SOBRA	70	15	0	1974	15_SOBRA			1974	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	1974	269	1974	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005338.BMP	
3	15_SOBRA	0.53	15_SOBRA	269	15	0	1974	15_SOBRA			1974	ARAUCO		
2	ENGROSSO066000150070	2	ENGROSSO HOR PAINEL _4P	750	70	15	70	15_SOBRA			750		C:\Nesting\LIVING\IMG_COMP\ENGROSSOHORP-1-1005352.BMP	
3	15_SOBRA	0.05	15_SOBRA	70	15	0	750	15_SOBRA			750	ARAUCO		
2	ENGROSSO080000800015	1	ENGROSSO H FECHAMENTO PAINEL _4P	750	15	269	15	15_SOBRA			750		C:\Nesting\LIVING\IMG_COMP\ENGROSSOHFEC-1-1005358.BMP	
3	15_SOBRA	0.20	15_SOBRA	269	15	0	750	15_SOBRA			750	ARAUCO		
2	REGUAAC080000150018	1	REGUA ACABAMENTO HOR _5	920	15	269	15	15_ESCARLATE			920		C:\Nesting\LIVING\IMG_COMP\REGUAACABAME-1-1005361.BMP	
3	15_ESCARLATE	0.25	15_ESCARLATE	269	15	0	920	15_ESCARLATE			920	ARAUCO		
1	PA05	1	PAINEL TETO	655	15	732	15				655			
2	PAINELV080000151000	1	PAINEL VER DIR SUP 2_5	655	732	15	732	15_ESCARLATE			655		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005368.BMP	
3	15_ESCARLATE	0.48	15_ESCARLATE	655	15	0	732	15_ESCARLATE			732	ARAUCO		
3	ABS_ESCARLATE_22	1.39	ABS_ESCARLATE_22	1387	0	0	0	ABS_ESCARLATE_22			1387			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	732	15	732	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005373.BMP	
3	15_SOBRA	0.05	15_SOBRA	70	15	0	732	15_SOBRA			732	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	732	269	732	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005379.BMP	
3	15_SOBRA	0.20	15_SOBRA	269	15	0	732	15_SOBRA			732	ARAUCO		
2	REGUAAC001800151000	1	REGUA ACABAMENTO VER _5	15	732	269	732	15_ESCARLATE			15		C:\Nesting\LIVING\IMG_COMP\REGUAACABAME-1-1005392.BMP	
3	15_ESCARLATE	0.20	15_ESCARLATE	269	15	0	732	15_ESCARLATE			732	ARAUCO		
1	PP05	1	ALIZAR MEIO ESQUADRIA	1010	2500	15	2500				1010			
2	ALIZARM007000152150	1	ALIZAR MEIO ESQ LE 2_4P_5	85	2500	15	2500	15_ESCARLATE			85		C:\Nesting\LIVING\IMG_COMP\ALIZARMEIOES-1-1005397.BMP	
3	15_ESCARLATE	0.21	15_ESCARLATE	85	15	0	2500	15_ESCARLATE			2500	ARAUCO		
3	ABS_ESCARLATE_22	5.09	ABS_ESCARLATE_22	5085	0	0	0	ABS_ESCARLATE_22			5085			
2	ALIZARM007000152150	1	ALIZAR MEIO ESQ LD 2_4P_5	85	2500	15	2500	15_ESCARLATE			85		C:\Nesting\LIVING\IMG_COMP\ALIZARMEIOES-1-1005400.BMP	
3	15_ESCARLATE	0.21	15_ESCARLATE	85	15	0	2500	15_ESCARLATE			2500	ARAUCO		
3	ABS_ESCARLATE_22	5.09	ABS_ESCARLATE_22	5085	0	0	0	ABS_ESCARLATE_22			5085			
2	ALIZARM090000150070	1	ALIZAR MEIO ESQ SUP 2_4P_5	1010	85	15	85	15_ESCARLATE			1010		C:\Nesting\LIVING\IMG_COMP\ALIZARMEIOES-1-1005403.BMP	
3	15_ESCARLATE	0.09	15_ESCARLATE	85	15	0	1010	15_ESCARLATE			1010	ARAUCO		
3	ABS_ESCARLATE_22	2.02	ABS_ESCARLATE_22	2020	0	0	0	ABS_ESCARLATE_22			2020			
1	PERFIL_15X15_ESPECIAL	2	PERFIL 25x12 PAINEL	85	25	12	25				85			
1	PA01	1	PAINEL VERTICAL	1770	1070	15	1070				1770			
2	PAINELV080000151000	1	PAINEL VER SEM FITA _5	1770	1070	15	1070	15_ESCARLATE			1770		C:\Nesting\LIVING\IMG_COMP\PAINELVERSEM-1-1005421.BMP	
3	15_ESCARLATE	1.89	15_ESCARLATE	1770	15	0	1070	15_ESCARLATE			1070	ARAUCO		
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	1070	15	1070	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005425.BMP	
3	15_SOBRA	0.07	15_SOBRA	70	15	0	1070	15_SOBRA			1070	ARAUCO		
2	ENGROSSO007000151000	1	ENGROSSO VER PAINEL _4P	70	900	15	900	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005431.BMP	
3	15_SOBRA	0.06	15_SOBRA	70	15	0	900	15_SOBRA			900	ARAUCO		
1	PA01	1	PAINEL VERTICAL	1215	770	15	770				1215			
2	PAINELV080000151000	1	PAINEL VER SEM FITA _5	1215	770	15	770	15_ESCARLATE			1215		C:\Nesting\LIVING\IMG_COMP\PAINELVERSEM-1-1005437.BMP	
3	15_ESCARLATE	0.94	15_ESCARLATE	1215	15	0	770	15_ESCARLATE			770	ARAUCO		
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	770	15	770	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005441.BMP	
3	15_SOBRA	0.05	15_SOBRA	70	15	0	770	15_SOBRA			770	ARAUCO		
2	ENGROSSO007000151000	1	ENGROSSO VER PAINEL _4P	70	600	15	600	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005447.BMP	
3	15_SOBRA	0.04	15_SOBRA	70	15	0	600	15_SOBRA			600	ARAUCO		
1	PA01	1	PAINEL VERTICAL	544	2481	15	2481				544			
2	PAINELV080000151000	1	PAINEL VER INF 2_5	544	2481	15	2481	15_ESCARLATE			544		C:\Nesting\LIVING\IMG_COMP\PAINELVERINF-1-1005546.BMP	
3	15_ESCARLATE	1.35	15_ESCARLATE	544	15	0	2481	15_ESCARLATE			2481	ARAUCO		
3	ABS_ESCARLATE_22	0.54	ABS_ESCARLATE_22	544	0	0	0	ABS_ESCARLATE_22			544			
2	PERFIL_15X15_ESPECIAL	1	PERFIL 25x12	559	25	12	25				559			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	2481	15	2481	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005555.BMP	
3	15_SOBRA	0.17	15_SOBRA	70	15	0	2481	15_SOBRA			2481	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	2481	75	2481	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005561.BMP	
3	15_SOBRA	0.19	15_SOBRA	75	15	0	2481	15_SOBRA			2481	ARAUCO		
1	PA01	1	PAINEL VERTICAL	125	2661	15	2661				125			
2	PAINELV080000151000	1	PAINEL VER ESQ INF 2_5	125	2661	15	2661	15_ESCARLATE			125		C:\Nesting\LIVING\IMG_COMP\PAINELVERESQ-1-1005577.BMP	
3	15_ESCARLATE	0.33	15_ESCARLATE	125	15	0	2661	15_ESCARLATE			2661	ARAUCO		
3	ABS_ESCARLATE_22	2.79	ABS_ESCARLATE_22	2786	0	0	0	ABS_ESCARLATE_22			2786			
2	REGUAAC001800151000	1	REGUA ACABAMENTO VER _5	15	2661	52	2661	15_ESCARLATE			15		C:\Nesting\LIVING\IMG_COMP\REGUAACABAME-1-1005581.BMP	
3	15_ESCARLATE	0.14	15_ESCARLATE	52	15	0	2661	15_ESCARLATE			2661	ARAUCO		
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	15	2661	45	2661	45_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005584.BMP	
3	45_SOBRA	0.04	45_SOBRA	15	45	0	2661	45_SOBRA			2661	ARAUCO		
1	PA01	1	PAINEL VERTICAL	125	2661	15	2661				125			
2	PAINELV080000151000	1	PAINEL VER DIR INF 2_5	125	2661	15	2661	15_ESCARLATE			125		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005593.BMP	
3	15_ESCARLATE	0.33	15_ESCARLATE	125	15	0	2661	15_ESCARLATE			2661	ARAUCO		
3	ABS_ESCARLATE_22	2.79	ABS_ESCARLATE_22	2786	0	0	0	ABS_ESCARLATE_22			2786			
2	REGUAAC001800151000	1	REGUA ACABAMENTO VER _5	15	2661	50	2661	15_ESCARLATE			15		C:\Nesting\LIVING\IMG_COMP\REGUAACABAME-1-1005597.BMP	
3	15_ESCARLATE	0.13	15_ESCARLATE	50	15	0	2661	15_ESCARLATE			2661	ARAUCO		
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	15	2661	45	2661	45_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005600.BMP	
3	45_SOBRA	0.04	45_SOBRA	15	45	0	2661	45_SOBRA			2661	ARAUCO		
1	PA05	1	PAINEL TETO	545	15	1977	15				545			
2	PAINELV080000151000	1	PAINEL VER DIR INF 2_5	545	1977	15	1977	15_ESCARLATE			545		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005610.BMP	
3	15_ESCARLATE	1.08	15_ESCARLATE	545	15	0	1977	15_ESCARLATE			1977	ARAUCO		
3	ABS_ESCARLATE_22	2.52	ABS_ESCARLATE_22	2522	0	0	0	ABS_ESCARLATE_22			2522			
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	1977	15	1977	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005614.BMP	
3	15_SOBRA	0.14	15_SOBRA	70	15	0	1977	15_SOBRA			1977	ARAUCO		
1	PA05	1	PAINEL TETO	998	15	1977	15				998			
2	PAINELV080000151000	1	PAINEL VER DIR ESQ INF 2_5	998	1977	15	1977	15_ESCARLATE			998		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005624.BMP	
3	15_ESCARLATE	1.97	15_ESCARLATE	998	15	0	1977	15_ESCARLATE			1977	ARAUCO		
3	ABS_ESCARLATE_22	4.95	ABS_ESCARLATE_22	4952	0	0	0	ABS_ESCARLATE_22			4952			
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	1977	15	1977	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005628.BMP	
3	15_SOBRA	0.14	15_SOBRA	70	15	0	1977	15_SOBRA			1977	ARAUCO		
1	PA05	1	PAINEL TETO	945	15	1977	15				945			
2	PAINELV080000151000	1	PAINEL VER ESQ INF 2_5	945	1977	15	1977	15_ESCARLATE			945		C:\Nesting\LIVING\IMG_COMP\PAINELVERESQ-1-1005638.BMP	
3	15_ESCARLATE	1.87	15_ESCARLATE	945	15	0	1977	15_ESCARLATE			1977	ARAUCO		
3	ABS_ESCARLATE_22	2.92	ABS_ESCARLATE_22	2922	0	0	0	ABS_ESCARLATE_22			2922			
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	1977	15	1977	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005642.BMP	
3	15_SOBRA	0.14	15_SOBRA	70	15	0	1977	15_SOBRA			1977	ARAUCO		
1	PA05	1	PAINEL TETO	267	15	1940	15				267			
2	PAINELV080000151000	1	PAINEL VER ESQ 2_5	267	1940	15	1940	15_ESCARLATE			267		C:\Nesting\LIVING\IMG_COMP\PAINELVERESQ-1-1005652.BMP	
3	15_ESCARLATE	0.52	15_ESCARLATE	267	15	0	1940	15_ESCARLATE			1940	ARAUCO		
3	ABS_ESCARLATE_22	1.94	ABS_ESCARLATE_22	1940	0	0	0	ABS_ESCARLATE_22			1940			
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	35	1940	15	1940	15_SOBRA			35		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005656.BMP	
3	15_SOBRA	0.07	15_SOBRA	35	15	0	1940	15_SOBRA			1940	ARAUCO		
1	PA01	1	PAINEL VERTICAL	1815	180	15	180				1815			
2	PAINELV080000151000	1	PAINEL VER DIR ESQ INF 2_5	1815	180	15	180	15_ESCARLATE			1815		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005665.BMP	
3	15_ESCARLATE	0.33	15_ESCARLATE	1815	15	0	180	15_ESCARLATE			180	ARAUCO		
3	ABS_ESCARLATE_22	2.18	ABS_ESCARLATE_22	2175	0	0	0	ABS_ESCARLATE_22			2175			
1	PA01	1	PAINEL VERTICAL	150	180	15	180				150			
2	PAINELV080000151000	1	PAINEL VER INF 2_5	150	180	15	180	15_ESCARLATE			150		C:\Nesting\LIVING\IMG_COMP\PAINELVERINF-1-1005671.BMP	
3	15_ESCARLATE	0.03	15_ESCARLATE	150	15	0	180	15_ESCARLATE			180	ARAUCO		
3	ABS_ESCARLATE_22	0.15	ABS_ESCARLATE_22	150	0	0	0	ABS_ESCARLATE_22			150			
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	15	180	45	180	45_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005675.BMP	
3	45_SOBRA	0.00	45_SOBRA	15	45	0	180	45_SOBRA			180	ARAUCO		
1	PA01	1	PAINEL VERTICAL	865	2481	15	2481				865			
2	PAINELV080000151000	1	PAINEL VER DIR ESQ INF 2_5	865	2481	15	2481	15_ESCARLATE			865		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005693.BMP	
3	15_ESCARLATE	2.15	15_ESCARLATE	865	15	0	2481	15_ESCARLATE			2481	ARAUCO		
3	ABS_ESCARLATE_22	5.83	ABS_ESCARLATE_22	5827	0	0	0	ABS_ESCARLATE_22			5827			
2	PERFIL_15X15_ESPECIAL	1	PERFIL 25x12	865	25	12	25				865			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	2481	15	2481	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005702.BMP	
3	15_SOBRA	0.17	15_SOBRA	70	15	0	2481	15_SOBRA			2481	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	2481	170	2481	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005708.BMP	
3	15_SOBRA	0.42	15_SOBRA	170	15	0	2481	15_SOBRA			2481	ARAUCO		
1	COIT01	1	BALCÃO	1155	590	515	590				1155			
2	LATERAL001806000600	1	LATERAL DIR INF 2_4C_5	15	590	515	590	15_BEIGE			15		C:\Nesting\LIVING\IMG_COMP\LATERALDIRIN-1-1005725.BMP	
3	15_BEIGE	0.30	15_BEIGE	515	15	0	590	15_BEIGE			590	ARAUCO		
3	ABS_ESCARLATE_22	1.11	ABS_ESCARLATE_22	1105	0	0	0	ABS_ESCARLATE_22			1105			
2	LATERAL001506000800	1	LATERAL ESQ INF 2_4C_5	15	590	515	590	15_BEIGE			15		C:\Nesting\LIVING\IMG_COMP\LATERALESQIN-1-1005728.BMP	
3	15_BEIGE	0.30	15_BEIGE	515	15	0	590	15_BEIGE			590	ARAUCO		
3	ABS_ESCARLATE_22	1.11	ABS_ESCARLATE_22	1105	0	0	0	ABS_ESCARLATE_22			1105			
2	FUNDOIN066400150585	1	FUNDO 4C_5	1125	575	15	575	15_BEIGE			1125		C:\Nesting\LIVING\IMG_COMP\FUNDO4C_5-1-1005731.BMP	
3	15_BEIGE	0.65	15_BEIGE	1125	15	0	575	15_BEIGE			575	ARAUCO		
2	PISOINF066406000015	1	PISO 2_4C_5	1125	15	515	15	15_BEIGE			1125		C:\Nesting\LIVING\IMG_COMP\PISO2_4C_5-1-1005734.BMP	
3	15_BEIGE	0.58	15_BEIGE	515	15	0	1125	15_BEIGE			1125	ARAUCO		
3	ABS_ESCARLATE_22	1.13	ABS_ESCARLATE_22	1125	0	0	0	ABS_ESCARLATE_22			1125			
2	FRONTAL0105000150045	1	FRONTAL VER 2_4C_5	1125	45	18	45	18_ESCARLATE			1125		C:\Nesting\LIVING\IMG_COMP\FRONTALVER2_-1-1005737.BMP	
3	18_ESCARLATE	0.05	18_ESCARLATE	1125	18	0	45	18_ESCARLATE			45	ARAUCO		
3	ABS_ESCARLATE_22	1.13	ABS_ESCARLATE_22	1125	0	0	0	ABS_ESCARLATE_22			1125			
2	PARAFUSO_4x40	10	PARAFUSO DIR 4X40	40	4	4	4				40			
2	PARAFUSO_4x40	10	PARAFUSO ESQ 4x40	40	4	4	4				40			
2	PORTADI064600180795	1	PORTA DIR TURIM 2_3_5	574	560	18	560	18_ESCARLATE			574		C:\Nesting\LIVING\IMG_COMP\PORTADIRTURI-1-1005803.BMP	
3	18_ESCARLATE	0.32	18_ESCARLATE	574	18	0	560	18_ESCARLATE			560	ARAUCO		
3	ABS_ESCARLATE_22	1.69	ABS_ESCARLATE_22	1694	0	0	0	ABS_ESCARLATE_22			1694			
3	PERFIL ESPECIAL	0.57	PERFIL ESPECIAL	574	0	0	0	PERFIL ESPECIAL			574			
2	NEO_PERFIL_NEO45_ESPECIAL	2	PERFIL NEO45	574	22	20	22				574			
2	PORTAES064600180795	1	PORTA ESQ TURIM 2_3_5	574	560	18	560	18_ESCARLATE			574		C:\Nesting\LIVING\IMG_COMP\PORTAESQTURI-1-1005811.BMP	
3	18_ESCARLATE	0.32	18_ESCARLATE	574	18	0	560	18_ESCARLATE			560	ARAUCO		
3	ABS_ESCARLATE_22	1.69	ABS_ESCARLATE_22	1694	0	0	0	ABS_ESCARLATE_22			1694			
3	PERFIL ESPECIAL	0.57	PERFIL ESPECIAL	574	0	0	0	PERFIL ESPECIAL			574			
2	BLUM_4243508_75B1550	2	DOBRADICA BLUM 107 DIR	37	57	79	57				37			
3	BLUM_4427776_70.1503.OGABD	1	BLUM DOBRADICA CAPA BRACO	44	4	15	4				44			
3	BLUM_9003173_70T3504	1	BLUM DOBRADICA CAPA CANECO	57	2	20	2				57			
2	BLUM_7480175_173L6100	2	BLUM CALCO DOBRADICA DIR RETO	8	19	44	19				8			
2	BLUM_4243508_75B1550	2	DOBRADICA BLUM 107 ESQ	37	57	79	57				37			
3	BLUM_4427776_70.1503.OGABD	1	BLUM DOBRADICA CAPA BRACO	44	4	15	4				44			
3	BLUM_9003173_70T3504	1	BLUM DOBRADICA CAPA CANECO	57	2	20	2				57			
2	BLUM_7480175_173L6100	2	BLUM CALCO DOBRADICA ESQ RETA	8	19	44	19				8			
1	PA02	1	PAINEL HORIZONTAL	210	193	15	193				210			
2	PAINELH100000150800	1	PAINEL HOR ESQ INF 2_5	210	193	15	193	15_ESCARLATE			210		C:\Nesting\LIVING\IMG_COMP\PAINELHORESQ-1-1005881.BMP	
3	15_ESCARLATE	0.04	15_ESCARLATE	193	15	0	210	15_ESCARLATE			210	ARAUCO		
3	ABS_ESCARLATE_22	0.40	ABS_ESCARLATE_22	403	0	0	0	ABS_ESCARLATE_22			403			
1	TA02	1	TAMPONAMENTO HORIZONTAL	1011	30	377	30				1011			
2	TAMPONAM100005000018	1	TAMP INF HOR ENG _4P	1011	15	377	15	15_ESCARLATE			1011		C:\Nesting\LIVING\IMG_COMP\TAMPINFHOREN-1-1005888.BMP	
3	15_ESCARLATE	0.38	15_ESCARLATE	377	15	0	1011	15_ESCARLATE			1011	ARAUCO		
2	TAMPSUP100005000015	1	TAMP SUP HOR ENG _4P	1011	15	377	15	15_ESCARLATE			1011		C:\Nesting\LIVING\IMG_COMP\TAMPSUPHOREN-1-1005893.BMP	
3	15_ESCARLATE	0.38	15_ESCARLATE	377	15	0	1011	15_ESCARLATE			1011	ARAUCO		
2	ENGROSSO007003600018	2	ENGROSSO V TAMP HOR _4P	70	15	212	15	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVTAM-1-1005897.BMP	
3	15_SOBRA	0.01	15_SOBRA	70	15	0	212	15_SOBRA			212	ARAUCO		
2	ENGROSSO100000700018	1	ENGROSSO H TAMP HOR _4P	986	15	70	15	15_SOBRA			986		C:\Nesting\LIVING\IMG_COMP\ENGROSSOHTAM-1-1005903.BMP	
3	15_SOBRA	0.07	15_SOBRA	70	15	0	986	15_SOBRA			986	ARAUCO		
2	ENGROSSO100000700018	1	ENGROSSO H TAMP HOR _4P	1011	15	70	15	15_SOBRA			1011		C:\Nesting\LIVING\IMG_COMP\ENGROSSOHTAM-1-1005906.BMP	
3	15_SOBRA	0.07	15_SOBRA	70	15	0	1011	15_SOBRA			1011	ARAUCO		
2	ENGROSSO100000700018	2	ENGROSSO H TAMP HOR _4P	70	15	212	15	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOHTAM-1-1005909.BMP	
3	15_SOBRA	0.01	15_SOBRA	212	15	0	70	15_SOBRA			70	ARAUCO		
2	FTTAMP0100005000054	1	FT TAMP HOR SEM FITA 1_5	1011	45	377	45	45_ESCARLATE			1011		C:\Nesting\LIVING\IMG_COMP\FTTAMPHORSEM-1-1005916.BMP	
3	45_ESCARLATE	0.38	45_ESCARLATE	377	45	0	1011	45_ESCARLATE			1011	ARAUCO		
1	TA02	1	TAMPONAMENTO HORIZONTAL	2168	30	1191	30				2168			
2	TAMPONAM100005000018	1	TAMP INF HOR ENG _4P	2168	15	1191	15	15_ESCARLATE			2168		C:\Nesting\LIVING\IMG_COMP\TAMPINFHOREN-1-1005923.BMP	
3	15_ESCARLATE	2.58	15_ESCARLATE	1191	15	0	2168	15_ESCARLATE			2168	ARAUCO		
2	TAMPSUP100005000015	1	TAMP SUP HOR ENG _4P	2168	15	1191	15	15_ESCARLATE			2168		C:\Nesting\LIVING\IMG_COMP\TAMPSUPHOREN-1-1005930.BMP	
3	15_ESCARLATE	2.58	15_ESCARLATE	1191	15	0	2168	15_ESCARLATE			2168	ARAUCO		
2	ENGROSSO007003600018	2	ENGROSSO V TAMP HOR _4P	70	15	1026	15	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVTAM-1-1005934.BMP	
3	15_SOBRA	0.07	15_SOBRA	70	15	0	1026	15_SOBRA			1026	ARAUCO		
2	ENGROSSO100000700018	1	ENGROSSO H TAMP HOR _4P	2143	15	70	15	15_SOBRA			2143		C:\Nesting\LIVING\IMG_COMP\ENGROSSOHTAM-1-1005940.BMP	
3	15_SOBRA	0.15	15_SOBRA	70	15	0	2143	15_SOBRA			2143	ARAUCO		
2	ENGROSSO100000700018	1	ENGROSSO H TAMP HOR _4P	2168	15	70	15	15_SOBRA			2168		C:\Nesting\LIVING\IMG_COMP\ENGROSSOHTAM-1-1005943.BMP	
3	15_SOBRA	0.15	15_SOBRA	70	15	0	2168	15_SOBRA			2168	ARAUCO		
2	ENGROSSO100000700018	3	ENGROSSO H TAMP HOR _4P	70	15	1026	15	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOHTAM-1-1005946.BMP	
3	15_SOBRA	0.07	15_SOBRA	1026	15	0	70	15_SOBRA			70	ARAUCO		
2	FTTAMP0100005000054	1	FT TAMP HOR SEM FITA 1_5	2168	45	1191	45	45_ESCARLATE			2168		C:\Nesting\LIVING\IMG_COMP\FTTAMPHORSEM-1-1005956.BMP	
3	45_ESCARLATE	2.58	45_ESCARLATE	1191	45	0	2168	45_ESCARLATE			2168	ARAUCO		
1	TA02	1	TAMPONAMENTO HORIZONTAL	1011	30	377	30				1011			
2	TAMPONAM100005000018	1	TAMP INF HOR ENG _4P	1011	15	377	15	15_ESCARLATE			1011		C:\Nesting\LIVING\IMG_COMP\TAMPINFHOREN-1-1005963.BMP	
3	15_ESCARLATE	0.38	15_ESCARLATE	377	15	0	1011	15_ESCARLATE			1011	ARAUCO		
2	TAMPSUP100005000015	1	TAMP SUP HOR ENG _4P	1011	15	377	15	15_ESCARLATE			1011		C:\Nesting\LIVING\IMG_COMP\TAMPSUPHOREN-1-1005968.BMP	
3	15_ESCARLATE	0.38	15_ESCARLATE	377	15	0	1011	15_ESCARLATE			1011	ARAUCO		
2	ENGROSSO007003600018	2	ENGROSSO V TAMP HOR _4P	70	15	212	15	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVTAM-1-1005972.BMP	
3	15_SOBRA	0.01	15_SOBRA	70	15	0	212	15_SOBRA			212	ARAUCO		
